Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Beattie, Mr. Thomson",male,36,1st,Canada,no,A,landowner,,Climed in but died of hypothermia,
"Daly, Mr. Peter Dennis",male,51,1st,England,yes,Transfer from A to 14,,climbed in boat A from the water,,
"Williams, Mr. Richard Norris II",male,21,1st,Switzerland,yes,Transfer from A to 14 to D,tennis player,doctor nearly amputated his feet due to severe frostbites but he opted to walk every two hours instead so his tennis career would not be cut short ,,
"Rheims, Mr. George Alexander Lucien",male,33,1st,United States,yes,Transfer from A to 14,,,,
"Mellors, Mr. William John",male,19,2nd,England,yes,Transfer from A to 14,,picked up by lifeboat 14,,
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,England,yes,Transfer from A to 14 to D,wife of a boxer,"only female passenger who went down with the ship and survived, her husband was a famous boxer, transferred to the titanic due to recent coal strike",,
"Honkanen, Miss. Eliina",female,27,3rd,Finland,yes,Transfer from A to 14 to D,,rescued in a lifeboat last to leave and she endured many privations ,,
"Lindell, Mr. Edvard Bengtsson",male,36,3rd,Sweden,no,A,,"died of hypothermia, thrown overboard","a legend tells he couldn't help his wife into the boat, while both were already experiencing hypothermia and died, while Elin was holding onto the lifeboat. ",
"Lindell, Mrs. Elin Gerda",female,30,3rd,Sweden,no,A,,"died of hypothermia, thrown overboard",,
"Wennerström, Mr. August",male,27,3rd,Sweden,yes,Transfer from A to 14,,,,
"Jansson, Mr. Carl Olof",male,21,3rd,Sweden,yes,Transfer from A to 14,"jumped into the water to boat A, which then nearly sank and then was transferred to boat 14",A to 14,,"He remained onboard, staying with August Wennerström until the ship's final throes before jumping and swimming to waterlogged collapsible A. He later admitted pushing others away from the frail craft in ""a tough fight in the water"" to prevent it going down due to excess weight."
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,United States,yes,Transfer from A to 14,farmer,"family friend of Karen Abelseth, swam for 20 minutes before reaching the lifeboat, once discovered by the Carpathia he had to sleep in the same wet clothes he swam in on deck, experienced two men freezing to death on lifeboat ",4 December 1980,94
"Keefe, Mr. Arthur",male,39,3rd,United States,no,A,farmer,estimate (never identified) ,Climed in but died of hypothermia,
"McIntyre, Mr. William",male,21,engineering crew,England,yes,Transfer from A to 14,,,,
"Thompson, Mr. John William",male,35,engineering crew,England,yes,Transfer from A to 14,,transferred to lifeboat 14,,
"Judd, Mr. Charles Edward",male,31,engineering crew,England,yes,Transfer from A to 14 to D,mentioned the boat was full of water up to his waste which clearly indicates Boat A! He must have been transferred to Boat 14 later on. could have been transferred to Boat D again as well. ,A to 14 and maybe to D,,boat was full of water up to his waist
"Lucas, Mr. William Watson",male,31,victualling crew,England,yes,Transfer from A to 14,,,,
"Weikman, Mr. Augustus Henry",male,52,victualling crew,United States,yes,Transfer from A to 14,,,,
"Brown, Mr. Edward",male,34,victualling crew,Wales,yes,Transfer from A to 14,,,,
"Willard, Miss. Constance",female,21,1st,United States,yes,Transfer from Boat A to D,,A,,"her account fits A the best: ""12 people in it"" and only one 1st class passenger. no boat fits it precisely but Boat A has the fewest passenger to first class ratio. still fairly applicable in boat D, which she must have been transfered to."
Unidentified Body ,male,NA,engineering crew,England (estimate),no,A,fireman/stoker,,Climed in but died of hypothermia,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Occupancy at Launch,21,,,,,
,,,,Final Occupancy (estimate),15,,,,,
,,,,Died in or around boat ,5,,,,,
,,,,Transfer to Boat 14,15,,,,,
Launch Time,02:10,With Deaths incl.,,Total ,"Abandoned, drifted away",,,,,
Rescue Time,abandoned,,,,,,,,,
Launch Location,starboard,,,,,,,,,
Material,Engehardt Raft,,,,,,,,,
Capacity,47,,,,,,,,,
Total Occupancy,16,21,,,,,,,,
Male,14,18,,,,,,,,
Female,2,3,,,,,,,,
First Class,5,,,,,,,,,
2nd Class,1,,,,,,,,,
3rd Class,8,,,,,,,,,
Crew,7,,,,,,,,,
Canada,1,,,,,,,,,
England,8,,,,,,,,,
Finland,1,,,,,,,,,
Sweden,4,,,,,,,,,
Switzerland,1,,,,,,,,,
USA,5,,,,,,,,,
Wales,1,,,,,,,,,
Average Age,"31,45",,,,,,,,,
Youngest,19,,,,,,,,,
Oldest,52,,,,,,,,,
Unusual,"drifted off, half sinking",,,,,,,,,
