Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Fortune, Miss. Alice Elizabeth",female,24,1st,Canada,yes,10,,,,
"Fortune, Miss. Ethel Flora",female,28,1st,Canada,yes,10,,,,
"Fortune, Miss. Mabel Helen",female,23,1st,Canada,yes,10,,,,
"Fortune, Mrs. Mary",female,60,1st,Canada,yes,10,,,,
"Balls, Mrs. Ada E.",female,36,2nd,England,yes,10,,,,
"Cook, Mrs. Selena",female,22,2nd,England,yes,10,,,,
"Kelly, Mrs. Fanny Maria",female,49,2nd,England,yes,10,,,,
"Smith, Miss. Marion Elsie",female,49,2nd,England,yes,10,,,,
"Ware, Mrs. Florence Louise",female,32,2nd,England,yes,10,,,,
"Webber, Miss. Susan",female,37,2nd,England,yes,10,,,,
"Weisz, Mrs. Mathilde Françoise",female,37,2nd,England,yes,10,,,,
"Hold, Mrs. Annie Margaret",female,29,2nd,England,yes,10,,,,
"Sincock, Miss. Maude",female,20,2nd,England,yes,10,,"During the evacuation, she was one of the last to board the lifeboat",,
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.2,3rd,England,yes,10,"cartographer, civil servant","youngest passenger, last survivor to die of old age",31 May 2009,97
"Dean, Mrs. Eva Georgetta 'Ettie'",female,32,3rd,England,yes,10,wife,,13 September 1975,96
"Thorneycroft, Mrs. Florence Kate",female,33,3rd,England,yes,10,,,,
"Dean, Master. Bertram Vere",male,1,3rd,England,yes,10,shipyard work,"became friends with George William Beauchamp, married daughter of a shopowner, shop previously owned by Henry Price Hodges",14 April 1992,82
"Buley, Mr. Edward John",male,26,deck crew,England,yes,Transfer from 10 to 14,,,,
"Evans, Mr. Frank Oliver",male,27,deck crew,England,yes,Transfer from 10 to 14,,,,
"Rice, Mr. Charles",male,32,engineering crew,England,yes,10,,,,
"Hakkarainen, Mrs. Elin Matilda",female,24,3rd,Finland,yes,10,,,,
"Heikkinen, Miss. Laina",female,16,3rd,Finland,yes,Transfer Boat 14 to 10,,"She was most likely transferred to boat 10 because she can remember that she stayed in the boat for about 6 hours before help arrived, apparently waited for 6 hours until Carpathia rescue, transferred from 14 to 10.",,
"Mallet, Mrs. Antonine Marie",female,24,2nd,France,yes,10,,,,
"Mallet, Master. André Clement",male,1,2nd,France,yes,10,,,,
"Keane, Miss. Nora Agnes",female,46,2nd,Ireland,yes,10,,,,
"O'Dwyer, Miss. Ellen",female,24,3rd,Ireland,yes,10,,,,
"Burke, Mr. William",male,31,victualling crew,Ireland,yes,10,,,,
"Hosono, Mr. Masabumi",male,41,2nd,Japan,yes,10,,,,
"Marvin, Mrs. Mary Graham Carmichael",female,18,1st,Scotland,yes,Transfer Boat 14 to 10,,initially in boat 14 then transferred to 10,,
"Asplund, Miss. Lillian Gertrud",female,5,3rd,Sweden,yes,10,,,,
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,Sweden,yes,10,,,,
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,Sweden,yes,10,,,,
"Krekorian, Mr. Neshan",male,25,3rd,Turkey,yes,10,,,,
"Andrews, Miss. Kornelia Theodosia",female,62,1st,United States,yes,10,,,,
"Hogeboom, Mrs. Anna Louisa",female,51,1st,United States,yes,10,,,,
"Longley, Miss. Gretchen Fiske",female,21,1st,United States,yes,10,,,,
"Drew, Mrs. Maria Louisa Thorne",female,34,2nd,United States,yes,10,,,,
"Drew, Master. Marshall Brines",male,8,2nd,United States,yes,10,,,,
"Lundin, Miss. Olga Elida",female,23,3rd,United States,yes,10,"her account could suggest boat 15 and 13, but her fiance was not allowed on the boat, so it must have been a boat more strictly supervised and it left relatively early. boat 10 seems more likely, as it encountered bodies and debris later, had mostly women on board and left earlier. ",10,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Occupation at Launch,37,,,,
,,,,,Transfer from Boat 14,2,2 so far,,,
,,,,,,,,,,
,,,,,Transfer to Boat 14,-2,,,,
,,,,,,,,,,
,,,,,Total Occupation,37,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),After Transfer ,Before Transfer,,,,,,,,
Total Occupancy ,37,,,,,,,,,
Launch Location,port,,,,,,,,,
Launch Time,01:47,,,,,,,,,
Rescue Time (Carpathia),08:00,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,2,,,,,,,,,
First Class,8,,,,,,,,,
Second Class,15,,,,,,,,,
Third Class,12,,,,,,,,,
England,14,16,,,,,,,,
USA,6,,,,,,,,,
Finland,2,,,,,,,,,
France,2,,,,,,,,,
Ireland,3,,,,,,,,,
Canada,4,,,,,,,,,
Japan,1,,,,,,,,,
Sweden,3,,,,,,,,,
Turkey,1,,,,,,,,,
Scotland,1,,,,,,,,,
Average Age,"28,73684211",,,,,,,,,
Max Age,62,,,,,,,,,
Min Age,2 Months,,,,,,,,,
Male ,8,,,,,,,,,
Female,29,,,,,,,,,
