Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death,,
"Dropkin, Miss. Jennie",female,24,3rd,Belarus,yes,13?,"could be 11 or 15 due to her 3rd class status, but 15 is more likey as it had much more 3rd class passengers on board",11/15,,,,
"Sap, Mr. Julius",male,21,3rd,Belgium,yes,11,,,,,,
"Scheerlinck, Mr. Jean",male,29,3rd,Belgium,yes,11,,,,,,
"De Mulder, Mr. Theodoor",male,30,3rd,Belgium,yes,11/13/15?,most likely on 11 due to no mention of belgium passengers on boat 13 or 15. some sources suggest boat 11,11,farmer,,,
"Allison, Master. Hudson Trevor",male,11 Months,1st,Canada,yes,11,,family nurse took the son on a lifeboat without telling the rest of the family. they were looking for him until the boat sank with them on board,,,,
"Martin, Mrs. Annie Martha",female,39,victualling crew,Channel Islands,yes,11,,,,,,
"Cleaver, Miss. Alice Catherine",female,22,1st,England,yes,11,,,,,,
"Angle, Mrs. Florence Agnes",female,36,2nd,England,yes,11,,,,,,
"Brown, Miss. Amelia Mary",female,18,2nd,England,yes,11,,,,,,
"Quick, Miss. Phyllis May",female,2,2nd,England,yes,11,,,,,,
"Quick, Miss. Winifred Vera",female,8,2nd,England,yes,11,,,,,,
"Quick, Mrs. Jane",female,33,2nd,England,yes,11,,,,,,
"West, Miss. Barbara Joyce",female,10 Months,2nd,England,yes,11,,,,,,
"West, Miss. Constance Mirium",female,4,2nd,England,yes,11,,,,,,
"West, Mrs. Ada Mary",female,33,2nd,England,yes,11,,,,,,
"Phillips, Miss. Kate Florence",female,19,2nd,England,yes,A/11?,"most likely in boat C or D, as some accounts suggest in one of the last lifeboats. boat 11 could also be likely due to her 2nd class status and mostly women on board. Boat C and D mostly had 3rd class and many men. it is mentioned that there was a pregnant woman on boat 11 too, so that could potentially be her. ",11/C/D,,pregnant at the time ,,
"Aks, Master. Frank Philip",male,10 Months,3rd,England,yes,11,"auto mechanic, car salesman","rescued in lifeboat 11 under the care of stewardess Mary Keziah Roberts, his future sister was named after the rescue ship Carpathia",15 July 1991,80,,
"Brice, Mr. Walter Thomas",male,43,deck crew,England,yes,11,,,,,,
"Humphreys, Mr. Sidney",male,53,deck crew,England,yes,11,,,,,,
"Caton, Miss. Annie",female,33,victualling crew,England,yes,11,,,,,,
"Gold, Mrs. Jane Kate Coulson",female,45,victualling crew,England,yes,11,,,,,,
"Gregson, Miss. Mary",female,45,victualling crew,England,yes,11,,,,,,
"Lavington, Miss. Elizabeth",female,40,victualling crew,England,yes,11,,,,,,
"Roberts, Mrs. Mary Kezia",female,41,victualling crew,England,yes,11,,,,,,
"Robinson, Mrs. Annie",female,41,victualling crew,England,yes,11,stewardess,"later travelled on another ship, during a thick fog she got so anxious, she probably thrown herself off the ship, never to be seen again",https://www.encyclopedia-titanica.org/identifying-titanic-stewardesses.html,,,
"Stap, Miss. Sarah Agnes",female,47,victualling crew,England,yes,11,stewardess,,,,,
"Prichard, Mrs. Alice Maud",female,36,victualling crew,England,yes,11,stewardess,,,,,
"Smith, Miss. Katherine Elizabeth",female,45,victualling crew,England,yes,11,stewardess,,,,,
"Slocombe, Mrs. Maude Louise",female,30,victualling crew,England,yes,5 or Collapsible?,according to accounts she was most likely in boat 11. some stewardesses are on boat 11 as well and it was one of the later ones to leave on the starboard side. she thought she was on the absolute last one but there have been other ones to leave from the other side and the collapsible one wasn't visible yet. ,11,Turkish Bath Stewardess,transferred to lifeboat 7,,
"Cullen, Mr. Charles James",male,49,victualling crew,England,yes,11,,,,,,
"Faulkner, Mr. William Stephen",male,37,victualling crew,England,yes,11,,,,,,
"Gibbons, Mr. Jacob William",male,36,victualling crew,England,yes,11,,,,,,
"Hyland, Mr. James Leo",male,19,victualling crew,England,yes,11,,,,,,
"McKay, Mr. Charles Donald",male,30,victualling crew,England,yes,11,,,,,,
"McMicken, Mr. Arthur",male,23,victualling crew,England,yes,11,,,,,,
"Simmons, Mr. Andrew George James",male,31,victualling crew,England,yes,11,scullion,,,,,
"Terrell, Mr. Frank",male,27,victualling crew,England,yes,11,assistant saloon steward,,,,,
"Theissinger, Mr. Alfred",male,46,victualling crew,England,yes,11,bedroom steward,,,,,
