Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"De Messemaeker, Mrs. Anna",female,36,3rd,Belgium,yes,13,,,,
"Slayter, Miss. Hilda Mary",female,30,2nd,Canada,yes,13,,,,
"Vigott, Mr. Philip Francis",male,32,deck crew,Channel Islands,yes,13,sailor or lookout? ,,,
"Bing, Mr. Lee",male,32,3rd,China ,yes,?,"zero info, but most likely in one of the later boats due to 3rd class status",13,,
"Banski, Mrs. Mara",female,31,3rd,Croatia,yes,?,"no records, but either 13 or 15 most likely, due to her 3rd class status she must have boarded a bit later, but there must have been chaos, her only accounts mention PTSD in the form of hair loss. later boats recorded more chaos and trauma. ",13/15,,
"Beane, Mrs. Ethel",female,22,2nd,England,yes,13,,,,
"Hewlett, Mrs. Mary Dunbar",female,56,2nd,England,yes,13,,,,
"Ridsdale, Miss. Lucy",female,58,2nd,England,yes,13?,"boat was leaking or at least she had the impression it was. most likely got into boat 12 if it is true, if not boat 13",13,nurse,
"Doling, Miss. Elsie",female,18,2nd,England,yes,?,"no info, most likely in 13 because 3rd class woman, but could also be 15, was placed with her sister",13/15,,
"Doling, Mrs. Ada Julia Elizabeth",female,34,2nd,England,yes,?,"no info, most likely in 13 because 3rd class woman, but could also be 15, was placed with her sister",13/15,,
"Beesley, Mr. Lawrence",male,34,2nd,England,yes,13,,,,
"Oxenham, Mr. Percy Thomas",male,22,2nd,England,yes,13,,,,
"Davison, Mrs. Mary Elizabeth",female,34,3rd,England,yes,13,,,,
"Hopkins, Mr. Robert John",male,40,deck crew,England,yes,13,sailor,,,
"Lee, Mr. Reginald Robinson",male,41,deck crew,England,yes,13,lookout,,,
"Beauchamp, Mr. George William",male,24,engineering crew,England,yes,13,"fireman, shipyard work",good friends with Bertram Vere Dean after disaster ,5 April 1965,77
"Barrett, Mr. Frederick",male,28,engineering crew,England,yes,13,"lead stoker, sailor",took command of lifeboat 13,,
"Fryer, Mr. Albert Ernest",male,29,engineering crew,England,yes,13,,,,
"Major, Mr. William James",male,32,engineering crew,England,yes,13,,,,
"Diaper, Mr. John Joseph",male,27,engineering crew,England,yes,?,"no info, but lots of firemen/stokers were recorded on 13 apparently. ",13,"fireman, stoker",
"Dore, Mr. Albert James",male,23,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,Trimmer,
"Flarty, Mr. Edward",male,52,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,"fireman, stoker",
"Godley, Mr. George Auguste",male,61,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,"fireman, stoker",
"Perry, Mr. Edgar Lionel",male,19,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,Trimmer,
"Self, Mr. Albert Charles Edward",male,24,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,"fireman, stoker",
"Sparkman, Mr. Henry William",male,36,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,"fireman, stoker",
"White, Mr. William George",male,23,engineering crew,England,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,Trimmer,
"Mauge, Mr. Paul Achille Maurice Germain",male,25,restaurant staff,England,yes,13,,,,
"Ball, Mr. Percy",male,19,victualling crew,England,yes,13,,,,
"Burgess, Mr. Charles",male,18,victualling crew,England,yes,13,,,,
"Burrage, Mr. Arthur Victor Edwards",male,20,victualling crew,England,yes,13,,,,
"Hartnell, Mr. Fred",male,21,victualling crew,England,yes,13,,,,
"Lee, Mr. Henry Reginald",male,29,victualling crew,England,yes,13,,,,
"Littlejohn, Mr. Alexander James",male,40,victualling crew,England,yes,13,,,,
"Ray, Mr. Frederick Dent",male,32,victualling crew,England,yes,13,,,,
"Wright, Mr. William",male,40,victualling crew,England,yes,13?,was asleep during sinking and then ordered into boat 13 by the crew,13,Glory Hole Steward,
"Colgan, Mr. E. Joseph",male,33,victualling crew,England,yes,13?,"trimmers were apparently more likely rescued in boat 13 due to its location. replace firemen to lifeboat 15 if there is not enough space left, as they were more likely to get safed by that boat. Lifeboat 13 also launched from the starboard side, slightly ahead of 15, and was closer to the midship gangways, where trimmers might have exited. Records indicate trimmers were present in Lifeboat 13, but fewer compared to firemen/stokers in 15.",13,Trimmer,
"Neal, Mr. Bentley Harold",male,26,victualling crew,England,yes,13?,in boat 13 or 15. no further clues in which boat but if in doubt he was most likely in 13 due to the only records I've found. ,13/15,Saloon Steward,
"Becker, Miss. Marion Louise",female,4,2nd,India,yes,13,,,,
"Becker, Miss. Ruth Elizabeth",female,12,2nd,India,yes,13,,,,
"Connolly, Miss. Catherine",female,23,3rd,Ireland,yes,13,,,,
"Glynn, Miss. Mary Agatha",female,18,3rd,Ireland,yes,13,,,,
"McGovern, Ms. Mary",female,22,3rd,Ireland,yes,13,,,,
"Riordan, Miss. Hannah",female,22,3rd,Ireland,yes,13,,,,
"Smyth, Miss. Julia",female,18,3rd,Ireland,yes,13,,,,
"Buckley, Mr. Daniel",male,21,3rd,Ireland,yes,13,,,,
"Graham, Mr. Thomas Gibson",male,28,engineering crew,Northern Ireland,yes,?,"no info, but lots of engine crew were recorded on 13 apparently. ",13,"fireman, stoker",
"Johannesen, Mr. Bernt Johannes",male,29,3rd,Norway,yes,13,,,,
"Madsen, Mr. Fridtjof Arne",male,24,3rd,Norway,yes,13,,,,
"Olsen, Master. Artur Karl",male,9,3rd,Norway,yes,13,,,,
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,Sweden,yes,13,,,,
"Landergren, Miss. Aurora Adelia",female,22,3rd,Sweden,yes,13,,"travelled with John Holm, Mauritz Adahl",,
"Nilsson, Miss. Helmina Josefina",female,26,3rd,Sweden,yes,13,,,,
"Nysten, Miss. Anna Sofia",female,22,3rd,Sweden,yes,13,,,,
"Sandström, Miss. Beatrice Irene",female,1,3rd,Sweden,yes,13,,,,
"Sandström, Miss. Marguerite Rut",female,4,3rd,Sweden,yes,13,,,,
