Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Marsden, Miss. Evelyn",female,28,victualling crew,Australia,yes,16,,,,
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,Denmark,yes,16,,,,
"Troutt, Miss. Edwina Celia",female,27,2nd,England,yes,16/D?,took the baby As'ad Tannus with her on boat 16  ,16,,Carried a baby named As'ad from the family Tannus
"Wilkinson, Mrs. Elizabeth Anne",female,30,2nd,England,yes,16/D?,edwina troutt mentions her being with her. boat 16 ,16,,
"Wilkes, Mrs. Ellen",female,47,3rd,England,yes,16,,,,
"Jessop, Miss. Violet Constance",female,24,victualling crew,England,yes,16,ocean liner stewardess,"famous for surviving three sinkings: Olympic (1911), Titanic (1912), Britannic (WW1), all sister ships",,
"Leather, Mrs. Elizabeth Mary",female,50,victualling crew,England,yes,16,,,,
"Corr, Miss. Ellen",female,16,3rd,Ireland,yes,16,,,,
"Gilnagh, Miss. Katherine",female,17,3rd,Ireland,yes,16,,,,
"Kelly, Miss. Anna Katherine",female,20,3rd,Ireland,yes,16,,,,
"McCoy, Miss. Agnes",female,29,3rd,Ireland,yes,16,,,,
"McCoy, Miss. Alice",female,26,3rd,Ireland,yes,16,,,,
"Mullin, Miss. Catherine",female,21,3rd,Ireland,yes,16,,,,
"Murphy, Miss. Catherine",female,18,3rd,Ireland,yes,16,,,,
"Murphy, Miss. Margaret Jane",female,25,3rd,Ireland,yes,16,,,,
"Murphy, Miss. Nora",female,31,3rd,Ireland,yes,16,,,,
"Mockler, Miss. Ellen Mary",female,23,3rd,Ireland,yes,D?,"her accounts suggest boat 16.  her friend was also helping her board others. both must have left on the same boat. she described the boat to be partially full, so it can't be boat 15! ",16,,
"Mannion, Miss. Margaret",female,28,3rd,Ireland,yes,D?,"assisted others with Ellen Mockler. she was most likely on the same boat, which was boat 16. ",16,,
"O'Brien, Mrs. Johanna",female,26,3rd,Ireland,yes,16?,,14/16,Rescue on 14 more likely due to unclear accounts maybe?,
"Abelseth, Miss. Karen Marie",female,16,3rd,Norway,yes,16,,,27 July 1969,73
"Dyker, Mrs. Anna Elisabeth Judith",female,22,3rd,United States,yes,16,,,,
"Archer, Mr. Ernest Edward",male,35,deck crew,England,yes,16,,,,
"Bailey, Mr. Henry Joseph",male,46,deck crew,England,yes,16,,,,
"Forward, Mr. James",male,27,deck crew,England,yes,16,,,,
"Pelham, Mr. George",male,39,engineering crew,England,yes,Transfer from 16 to 6,Fireman,Transferred from boat 16,,
"Andrews, Mr. Charles Edward",male,19,victualling crew,England,yes,16,,,,
"McCoy, Mr. Bernard",male,24,3rd,Ireland,yes,16,,,,
"Tannūs, Master. As'ad",male,0.45,3rd,Lebanon,yes,16/D?,Edwina Troutt took him aboard boat 16 ,16,,
"Svensson, Mr. Johan Cervin",male,14,3rd,Sweden,yes,16,,,,
"McCormack, Mr. Thomas Joseph",male,19,3rd,United States,yes,16,,,,
,,,,,,,,,,
,,,,,occupancy at launch (+ 1 fireman),30,,,,
Analysis ,,before Transfer,,,occupancy at rescue (-1 fireman to boat 6) ,29,,,,
Total Occupancy ,29,30,,,,,,,,
Launch Location,port,,,,,,,,,
Launch Time,01:25,,,,,,,,,
Rescue Time (Carpathia),07:30,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,6,7,,,,,,,,
First Class,0,,,,,,,,,
Second Class,2,,,,,,,,,
Third Class,20,,,,,,,,,
England,9,10,,,,,,,,
Australia,1,,,,,,,,,
Ireland,13,,,,,,,,,
USA,2,,,,,,,,,
Lebanon,1,,,,,,,,,
Norway,1,,,,,,,,,
Denmark,1,,,,,,,,,
Sweden,1,,,,,,,,,
Average Age,"26,4137931",,,,,,,,,
Max Age,50,,,,,,,,,
Min Age,5 months,,,,,,,,,
Male ,8,9,,,,,,,,
Female,21,,,,,,,,,
