Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,remarks,First Analysis,
"Flynn, Mr. John Irwin",male,36,1st,Canada,yes,5,,,,
"Olliver, Mr. Alfred John",male,27,deck crew,Channel Islands,yes,5,quartermaster,,,
"Warren, Mrs. Anna Sophia",female,60,1st,England,yes,5,,,,
"Pitman, Mr. Herbert John",male,34,deck crew,England,yes,5,3rd officer ,,,
"Shiers, Mr. Alfred Charles",male,25,engineering crew,England,yes,5,,,,
"Bennett, Mrs. Mabel",female,33,victualling crew,England,yes,5,,,,
"McLaren, Mrs. Hypatia",female,40,victualling crew,England,yes,5,,,,
"Etches, Mr. Henry Samuel",male,43,victualling crew,England,yes,5,,,,
"Guy, Mr. Elgar John",male,29,victualling crew,England,yes,5,,,,
"Stengel, Mrs. Annie May",female,43,1st,Ireland,yes,5,,,,
"Goldenberg, Mrs. Nella",female,40,1st,Italy,yes,5,,,,
"Frölicher, Miss. Hedwig Margaritha",female,22,1st,Switzerland,yes,5,,,,
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48,1st,Switzerland,yes,5,,,,
"Frölicher-Stehli, Mr. Maximilian Josef",male,60,1st,Switzerland,yes,5,,,,
"Beckwith, Mrs. Sallie",female,46,1st,United States,yes,5,,,,
"Chambers, Mrs. Bertha",female,32,1st,United States,yes,5,,,,
"Frauenthal, Mrs. Clara",female,42,1st,United States,yes,5,,,,
"Harder, Mrs. Dorothy",female,21,1st,United States,yes,5,,,,
"Kimball, Mrs. Susan Gertrude",female,45,1st,United States,yes,5,,,,
"Newsom, Miss. Helen Monypeny",female,19,1st,United States,yes,5,,,,
"Østby, Miss. Helen Ragnhild",female,22,1st,United States,yes,5,,,,
"Behr, Mr. Karl Howell",male,26,1st,United States,yes,5,"tennis star, banker",,,
"Beckwith, Mr. Richard Leonard",male,37,1st,United States,yes,5,,,,
"Calderhead, Mr. Edward Pennington",male,42,1st,United States,yes,5,,,,
"Chambers, Mr. Norman Campbell",male,27,1st,United States,yes,5,,,,
"Frauenthal, Dr. Henry William",male,49,1st,United States,yes,5,,,,
"Frauenthal, Mr. Isaac Gerald",male,43,1st,United States,yes,5,,,,
"Goldenberg, Mr. Samuel L.",male,47,1st,United States,yes,5,,,,
"Harder, Mr. George Achilles",male,25,1st,United States,yes,5,,,,
"Kimball, Mr. Edwin Nelson Jr.",male,42,1st,United States,yes,5,,,,
"Silverthorne, Mr. Spencer Victor",male,35,1st,United States,yes,5,,,,
"Taylor, Mrs. Juliet Cummins",female,49,1st,United States,yes,Transfer From 5 to 7,,apparently boat 5 the most likely option. husband and wife were lowered in the same boat. boat 7 is already full. ,5,
"Dodge, Mrs. Ruth",female,34,1st,United States,yes,Transfer from 5 to 7,,,,
"Taylor, Mr. Elmer Zebley",male,48,1st,United States,yes,Transfer From 5 to 7,"manufacturer, paper industry",apparently boat 5 the most likely option. boat 7 is already full. ,5,"manufacturer, paper industry"
"Dodge, Master. Washington",male,4,1st,United States,yes,Transfer from 5 to 7,"Times Magazine financial editor, investor, vice president of stockbrokers Clark, Dodge & Co",first child to board a lifeboat,3 December 1974,67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,At Launch,35,,,,
,,,,,At Rescue,31,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),,Before Transfer,,,,,,,,
Total Occupancy ,31,35,,,,,,,,
Launch Location,starboard,,,,,,,,,
Launch Time,00:55,lowering was slow and difficult,,,,,,,,
Rescue Time (Carpathia),06:00,picked up with boat 7,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,7,,,,,,,,,
First Class,25,29,,,,,,,,
Second Class,0,,,,,,,,,
Third Class,0,,,,,,,,,
England,7,,,,,,,,,
USA,21,25,,,,,,,,
Switzerland,3,,,,,,,,,
Italy,1,,,,,,,,,
Ireland,1,,,,,,,,,
Canada,1,,,,,,,,,
Channel Islands,1,,,,,,,,,
Average Age,"36,77419355",,,,,,,,,
Max Age,60,,,,,,,,,
Min Age,19,,,,,,,,,
Male ,17,19,,,,,,,,
Female,14,16,,,,,,,,
