Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Mayné, Mlle. Berthe Antonine",female,24,1st,Belgium,yes,6,,,,
"Baxter, Mrs. Hélène",female,50,1st,Canada,yes,6,,,,
"Douglas, Mrs. Mary Hélène",female,27,1st,Canada,yes,6,,,,
"Peuchen, Major. Arthur Godfrey",male,52,1st,Canada,yes,6,,,,
"Bowerman, Miss. Elsie Edith",female,22,1st,England,yes,6,"lawyer, suffragette",,,
"Barber, Miss. Ellen Mary",female,27,1st,England,yes,6,,,,
"Hichens, Mr. Robert",male,29,deck crew,England,yes,6,sailor,"on the ship's wheel when the ship struck the iceberg, accused of calling people in the water ""stiffs"", accused of constantly criticising others, accused of being drunk, Margaret Brown threatened to throw him overboard",23 September 1940,58
"Fleet, Mr. Frederick",male,24,deck crew,England,yes,6,,,,
"Pelham, Mr. George",male,39,engineering crew,England,yes,Transfer from 16 to 6,Fireman,Transferred from boat 16,,
"Icard, Miss. Rose Amélie",female,39,1st,France,yes,6,,,,
"Lurette, Miss. Eugénie Elise",female,59,1st,France,yes,6?,as Marie Spencers maid she was on the same boat. apparently boat 6 ,6,Maid of Marie Eugenie Spencer,
"Lindström, Mrs. Sigrid",female,55,1st,Sweden,yes,6,"was assisted by Björnström-Steffansson, Mr. Mauritz Hokan who was reported to have helped some women into Boat 6. Some accounts suggest she was in Boat 6 as well, which fits her 1st class status! ",6,,
"Candee, Mrs. Helen Churchill",female,52,1st,United States,yes,6,"journalist, author, feminist, geographer","chaperoned by Colonel Archibald Gracie, friends with Edward Austin Kent, gave Edward Austin Kent valuable items sold at auction after disaster",23 August 1949,90
"Brown, Mrs. Margaret",female,44,1st,United States,yes,6,"suffragette, socialite, philantropist, husband in mining business","The Unsinkable Mrs. Brown, rowed the boat with Helen Churchill Candee",,
"Cassebeer, Mrs. Eleanor Genevieve",female,36,1st,United States,yes,6,,,,
"Cavendish, Mrs. Julia Florence",female,25,1st,United States,yes,6,,,,
"Meyer, Mrs. Leila",female,25,1st,United States,yes,6,,,,
"Newell, Miss. Madeleine",female,31,1st,United States,yes,6,,,,
"Newell, Miss. Marjorie Anne",female,23,1st,United States,yes,6,,,,
"Rothschild, Mrs. Elizabeth Jane Anne",female,54,1st,United States,yes,6,,brought her pomeranian with her,,
"Smith, Mrs. Mary Eloise",female,18,1st,United States,yes,6,,,,
"Stone, Mrs. Martha Evelyn",female,61,1st,United States,yes,6,,,,
"Spencer, Mrs. Marie Eugenie",female,48,1st,United States,yes,6,,,,
"Zenni, Mr. Philip",male,39,3rd,Syria,yes,6,,,,
,,,,,,24,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),,,,,,,,,,
Total Occupancy ,24,,,,,,,,,
Launch Location,port,,,,,,,,,
Launch Time,00:55,,,,,,,,,
Rescue Time (Carpathia),08:00,one of the last to reach the Carpathia,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,3,,,,,,,,,
First Class,20,,,,,,,,,
Second Class,0,,,,,,,,,
Third Class,1,,,,,,,,,
England,5,,,,,,,,,
Sweden,1,,,,,,,,,
USA,11,,,,,,,,,
France,2,,,,,,,,,
Canada,3,,,,,,,,,
Syria,1,,,,,,,,,
Belgium,1,,,,,,,,,
Average Age,"37,625",,,,,,,,,
Max Age,61,,,,,,,,,
Min Age,18,,,,,,,,,
Male ,5,,,,,,,,,
Female,19,,,,,,,,,
Pets,1,Elizabeth Rothschild's Pomeranian,,,,,,,,
