Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Rothes, Lucy Noël Martha, Countess of",female,33,1st,England,yes,8,"countess, socialite, philantrophist, social leader","seen as a heroine, popular figure in London before the disaster, called ""plucky little princess"" by the press after disaster, family owns number plate of the lifeboat gifted by Thomas William Jones",12 September 1956,77
"Maioni, Miss. Roberta Elizabeth Mary",female,20,1st,England,yes,8,"servant, maid",maid to Countess of Rothes Noel Leslie ,,
"Bird, Miss. Ellen",female,31,1st,England,yes,8,,,,
"Bonnell, Miss. Elizabeth",female,61,1st,England,yes,8,,,,
"Cherry, Miss. Gladys",female,30,1st,England,yes,8,,cousin of Count of Rothes husband of Countess of Rothes Noel Leslie,,
"Daniels, Miss. Sarah Rebecca",female,36,1st,England,yes,8,,,,
"Pears, Mrs. Edith",female,22,1st,England,yes,8,,,,
"Jones, Mr. Thomas William",male,32,deck crew,England,yes,8,able seaman,"commander of the boat, help from Countess of Rothes Noel Leslie, maintained correspondence with Countess of Rothes until her death",,
"Pascoe, Mr. Charles H.",male,45,deck crew,England,yes,8?,"his records suggest a late departure and that the lifeboat still had quite some space left. Best Bet is Collapsible D, but lifeboat 8 also had some space left and had 4 crew in the boat. more likely 8 according to some records ",8,Able Seaman,
"Crawford, Mr. Alfred George",male,43,victualling crew,England,yes,8,steward,"rowed  ""doggedly for five hours"" according to Countess of Rothes Noel Leslie",,
"Turkula, Mrs. Hedwig",female,63,3rd,Finland,yes,8?,"must be 8, as she noticed mostly women and it was underfilled. all boats launching at a later date are full or mostly full.",16,,boat was underfilled with mainly women
"Laroche, Miss. Louise",female,1,2nd,France,yes,8,,,,
"Laroche, Miss. Simonne Marie Anne Andrée",female,3,2nd,France,yes,8,,,,
"Laroche, Mrs. Juliette Marie Louise",female,22,2nd,France,yes,8,,,,
"Bucknell, Mrs. Emma Eliza",female,58,1st,India,yes,8,,,,
"Bassani, Mrs. Albina",female,32,1st,Italy,yes,8,,,,
"Oliva y Ocana, Doña. Fermina",female,39,1st,Spain,yes,8,,,,
"Peñasco y Castellana, Mrs. Maria Josefa Perezde Soto y Vallejo",female,22,1st,Spain,yes,8,,,,
"Bessette, Miss. Nellie Mayo",female,39,1st,United States,yes,8,,,,
"Bonnell, Miss. Caroline",female,30,1st,United States,yes,8,,,,
"Kenyon, Mrs. Marion Estelle",female,40,1st,United States,yes,8,,,,
"Leader, Dr. Alice May",female,49,1st,United States,yes,8,,,,
"Swift, Mrs. Margaret Welles",female,46,1st,United States,yes,8,,,,
"Taussig, Miss. Ruth",female,18,1st,United States,yes,8,,,,
"Taussig, Mrs. Tillie",female,39,1st,United States,yes,8,,,,
"White, Mrs. Ella",female,55,1st,United States,yes,8,,,,
"Wick, Miss. Mary Natalie",female,31,1st,United States,yes,8,,,,
"Wick, Mrs. Mary Peebles",female,45,1st,United States,yes,8,,,,
"Young, Miss. Marie Grice",female,36,1st,United States,yes,8,,,,
"Holverson, Mrs. Mary Aline",female,35,1st,United States,yes,8?,some accounts suggest boat 8 as it left with many first class women. ,8 and 6 are full... must be on a different boat?,,
,,,,,,,,,,
,,,,,,30,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),,,,,,,,,,
Total Occupancy ,30,,,,,,,,,
Launch Location,port,,,,,,,,,
Launch Time,01:10,,,,,,,,,
Rescue Time (Carpathia),07:30,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,3,,,,,,,,,
First Class,23,,,,,,,,,
Second Class,3,,,,,,,,,
Third Class,1,,,,,,,,,
England,10,,,,,,,,,
USA,12,,,,,,,,,
Spain,2,,,,,,,,,
Italy,1,,,,,,,,,
India,1,,,,,,,,,
France,3,,,,,,,,,
Finland,1,,,,,,,,,
Average Age,"35,2",,,,,,,,,
Max Age,63,,,,,,,,,
Min Age,1,,,,,,,,,
Male ,3,,,,,,,,,
Female,27,,,,,,,,,
