Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Ryerson, Mr. William Edwy",male,33,victualling crew,Canada,yes,9,2nd class saloon steward,,,
"Futrelle, Mrs. Lily May",female,35,1st,England,yes,9,,,,
"Beane, Mr. Edward",male,32,2nd,England,yes,9,,,,
"Buss, Miss. Kate",female,36,2nd,England,yes,9,,,,
"Clarke, Mrs. Ada Maria",female,28,2nd,England,yes,9,,,,
"Herman, Miss. Alice",female,24,2nd,England,yes,9,,,,
"Herman, Miss. Kate",female,24,2nd,England,yes,9,,,,
"Whilems, Mr. Charles",male,31,2nd,England,yes,9,,,,
"Wright, Miss. Marion",female,26,2nd,England,yes,9,,,,
"Haines, Mr. Albert",male,31,deck crew,England,yes,9,,,,
"Peters, Mr. William Chapman",male,26,deck crew,England,yes,9,,,,
"Wynn, Mr. Walter",male,41,deck crew,England,yes,9,,,,
"Kemish, Mr. George",male,22,engineering crew,England,yes,9,,,,
"Street, Mr. Thomas Albert",male,25,engineering crew,England,yes,9,fireman/stoker,,,
"Kasper, Mr. Franz Wilhelm",male,40,engineering crew,England,yes,?,"some records suggest this, some crew was on boat 9 as well",9,,
"Oliver, Mr. H.",male,32,engineering crew,England,yes,9?,"his accounts suggest boat 9 as the most likely escape, there's still quite some space left on that boat according to total occupancy estimations. ",9,,
"Thresher, Mr. George Terrill",male,25,engineering crew,England,yes,9/11?,most likely in boat 9 as well due to some accounts. ,9,,
"Baggott, Mr. Allen Marden",male,28,victualling crew,England,yes,9,saloon steward,,,
"Chapman, Mr. Joseph Charles",male,32,victualling crew,England,yes,9,2nd class boots steward,,,
"Harrison, Mr. Aragõa Drummond",male,40,victualling crew,England,yes,9,1st class saloon steward,,,
"Ward, Mr. William",male,37,victualling crew,England,yes,9,saloon steward,,,
"Widgery, Mr. Isaac George",male,37,victualling crew,England,yes,9,bath steward,,,
"Yearsley, Mr. Harry",male,40,victualling crew,England,yes,9/15/6/4?,"boat 9 seems most likely as a first class saloon steward. many of his profession were in that boat already. boat 15 was also mentioned, but less likely as it was filled with mostly 3rd class passengers and staff. ",9,first class saloon steward,
"Aubart, Mme. Léontine Pauline",female,24,1st,France,yes,9,singer,mistress of Benjamin Guggenheim,,
"Chaudanson, Miss. Victorine",female,36,1st,France,yes,9,,,,
"Lines, Miss. Mary Conover",female,16,1st,France,yes,9,,,,
"Herman, Mrs. Jane",female,50,2nd,India,yes,9,,,,
"Toomey, Miss. Ellen Mary",female,48,2nd,Ireland,yes,9,,,,
"McGough, Mr. George Francis 'Paddy'",male,36,deck crew,Ireland,yes,9,,,,
"Pinsky, Mrs. Rosa",female,32,2nd,Poland,yes,9,,,,
"Picard, Mr. Benoît",male,33,3rd,Poland,yes,9,,,,
"Pfropper, Mr. Richard Paul Jozef",male,30,victualling crew,Poland,yes,9,saloon steward,,,
"Trout, Mrs. Jessie Laird",female,27,2nd,Scotland,yes,9,,,,
"Watt, Miss. Robertha Josephine",female,12,2nd,Scotland,yes,9,,,,
"Watt, Mrs. Elizabeth",female,40,2nd,Scotland,yes,9,,,,
"Padron Manent, Mr. Julian",male,27,2nd,Spain,yes,9,,,,
"Pallàs i Castelló, Sr. Emili",male,29,2nd,Spain,yes,9,,,,
"Sägesser, Mlle. Emma",female,24,1st,Switzerland,yes,9,,,,
"Brereton, Mr. George Andrew",male,37,1st,United States,yes,9,,,,
"Burns, Miss. Elizabeth Margaret",female,41,1st,United States,yes,9,,,,
"Lines, Mrs. Elizabeth Lindsey",female,50,1st,United States,yes,9,,,,
,,,,,,,,,,
,,,,,,41,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),,,,,,,,,,
Total Occupancy ,41,,,,,,,,,
Launch Location,starboard,,,,,,,,,
Launch Time,01:15,,,,,,,,,
Rescue Time (Carpathia),06:15,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,17,,,,,,,,,
First Class,8,,,,,,,,,
Second Class,15,,,,,,,,,
Third Class,1,,,,,,,,,
England,22,,,,,,,,,
USA,3,,,,,,,,,
India,1,,,,,,,,,
France,3,,,,,,,,,
Switzerland,1,,,,,,,,,
Ireland,2,,,,,,,,,
Poland,3,,,,,,,,,
Spain,2,,,,,,,,,
Scotland,3,,,,,,,,,
Canada,1,,,,,,,,,
Average Age,"32,12195122",,,,,,,,,
Max Age,50,,,,,,,,,
Min Age,12,,,,,,,,,
Male ,23,,,,,,,,,
Female,18,,,,,,,,,
