Nationality Distribution,1st Class,2nd Class,3rd Class,Crew,Total
USA ,126,11,11,0,148
England,22,63,20,189,294
France,11,7,0,0,18
Switzerland,7,1,1,1,10
Wales,0,0,0,3,3
Belgium,2,0,5,0,7
Ireland,3,2,36,7,48
Canada,14,1,0,1,16
Channel Islands,1,3,1,4,9
Sweden,2,2,24,0,28
Finland,0,2,16,0,18
Denmark,0,0,1,0,1
Italy,2,2,1,0,5
Germany,4,0,1,0,5
Lebanon,0,1,29,0,30
India,1,4,0,0,5
Poland,0,1,2,1,4
Spain,4,3,0,0,7
Norway,0,0,8,0,8
Scotland,2,5,0,2,9
South Africa,0,2,0,0,2
China,0,0,6,0,6
Russia,0,1,1,0,2
Northern Ireland,0,0,0,4,4
Slovenia,0,0,2,0,2
Croatia,0,0,3,0,3
Ukraine,0,1,1,0,2
Turkey,0,0,2,0,2
Austria,0,0,2,0,2
Japan,0,1,0,0,1
Syria,0,0,2,0,2
Belarus,0,0,1,0,1
Thailand,0,2,0,0,2
Australia,0,0,0,1,1
Egypt,1,0,0,0,1
,,,,,
Total Nationalities,202,115,176,213,706
Percentages,28.61%,16.29%,24.93%,30.17%,100%
